"Município","","","Nome do Abrigo","","","","","","","","","","","","","Endereço Abrigo","","","","","","","","","","Capacidade",""
"PORTO ALEGRE","","","Igreja Batista Nacional de Porto Alegre - Nexus Church","","","","","","","","","","","","","R. Ouro Preto, 785 - Jardim Floresta, (ENTRADA PELA RUA LATERAL)","","","","","","","","","","70",""
"PORTO ALEGRE","","","Igreja Belém Novo (Ginásio de Esportes Belém Novo)","","","","","","","","","","","","","Heitor Vieira, 474. Belém Novo","","","","","","","","","","82",""
"PORTO ALEGRE","","","Igreja casa Church RESTINGA","","","","","","","","","","","","","Ignes Fagundes, 1191, restinga","","","","","","","","","","50",""
"PORTO ALEGRE","","","Igreja da Paz Porto Alegre - Paz Church","","","","","","","","","","","","","Rua Dom Diogo de Souza, 380","","","","","","","","","","40",""
"PORTO ALEGRE","","","Igreja de Cristo da Agronomia","","","","","","","","","","","","","Avenida Bento Gonçalves 9251","","","","","","","","","","4",""
"PORTO ALEGRE","","","Igreja Desatadora de Nós (Paróquia São Vicente Mártir)","","","","","","","","","","","","","Rua Victor Silva, 186","","","","","","","","","","47",""
"PORTO ALEGRE","","","Igreja Deus é amor - Partenon","","","","","","","","","","","","","padre cornelio, 33. Partenon","","","","","","","","","","70",""
"PORTO ALEGRE","","","Igreja Deus é amor JUCA","","","","","","","","","","","","","Juca Batista, 3230. Aberta dos Morros","","","","","","","","","","48",""
"PORTO ALEGRE","","","Igreja do Evangelho Quadranglar da Bom Jesus","","","","","","","","","","","","","Rua do canto, 211","","","","","","","","","","25",""
"PORTO ALEGRE","","","Igreja do Evangelho Quadrangular","","","","","","","","","","","","","Estrada João de Oliveira Remião, 2862- Parada 07","","","","","","","","","","19",""
"PORTO ALEGRE","","","Igreja Evangélica Ministério Betânia","","","","","","","","","","","","","Rua Gervásio Braga Pinheiro, 740","","","","","","","","","","16",""
"PORTO ALEGRE","","","IGREJA Evangélica Ponto de Fé","","","","","","","","","","","","","RUA OURO PRETO, 682. JARDIM FLORESTA. PORTO ALEGRE-RS","","","","","","","","","","36",""
"PORTO ALEGRE","","","Igreja Evangélica Rosa de Sarom","","","","","","","","","","","","","Rua Beco Souza Costa, 174","","","","","","","","","","40",""
"PORTO ALEGRE","","","Igreja Lugar de Adoração","","","","","","","","","","","","","Rua Beco dos Marianos, 24","","","","","","","","","","14",""
"PORTO ALEGRE","","","Igreja Nossa Senhora Auxiliadora","","","","","","","","","","","","","Rua 24 de outubro 1751  Porto Alegre","","","","","","","","","","24",""
"PORTO ALEGRE","","","IGREJA nossa senhora da conceição - CURIA PORTO ALEGRE","","","","","","","","","","","","","Av. Independência, 230 - Independência, Porto Alegre - RS,","","","","","","","","","","31",""
"PORTO ALEGRE","","","Igreja Nossa Senhora da Fátima (Escola Cenáculo)","","","","","","","","","","","","","Dr. napoleão Laureano, S/N, Passo D'areia","","","","","","","","","","78",""
"PORTO ALEGRE","","","IGREJA NOSSA SENHORA DE LOURDES","","","","","","","","","","","","","Rua Gen. Caldwell 1022 - Salão Paroquial","","","","","","","","","","27",""
"PORTO ALEGRE","","","Igreja Pompeia","","","","","","","","","","","","","R. Dr. Barros Cassal, 222 - Floresta","","","","","","","","","","72",""
"PORTO ALEGRE","","","Igreja Reviver / Escola Araguaia","","","","","","","","","","","","","av. edgar pires de castro 803, hípica / estrada gedeon leite 780","","","","","","","","","","48",""
"PORTO ALEGRE","","","Igreja Santo Martires","","","","","","","","","","","","","Rua Seis, numero 250, Mario Quintana","","","","","","","","","","26",""
"PORTO ALEGRE","","","Igreja Santos Mártires","","","","","","","","","","","","","Rui seis, 270 - Mario Quintana","","","","","","","","","","26",""
"PORTO ALEGRE","","","IGREJA SÃO JORGE","","","","","","","","","","","","","Av. Bento Gonçalves,  2948 Entrada pela Salvador França (referência ao lado da Delegacia)","","","","","","","","","","16",""
"PORTO ALEGRE","","","Igreja Gideão e os 300","","","","","","","","","","","","","Av. Martins Felix Berta, número 1229 - Bairro Rubem Berta","","","","","","","","","","36",""
"PORTO ALEGRE","","","ILEASE OGUM ADIOLÁMIRÁ","","","","","","","","","","","","","Rua Passagem 12 NUMERO 117 SEFER2 - jardim carvalho - CASA DE RELIGIAO","","","","","","","","","","26",""
"PORTO ALEGRE","","","IPA","","","","","","","","","","","","","R. Casemiro de Abreu, 1145 - Boa VistaPorto Alegre - RS, 90420-001","","","","","","","","","","160",""
"PORTO ALEGRE","","","lord sale","","","","","","","","","","","","","rua dom joão VI 240","","","","","","","","","","40",""
"PORTO ALEGRE","","","Ministério Apostólico Profético MAANAIM","","","","","","","","","","","","","Rua Manoel Marques, 436","","","","","","","","","","20",""
"PORTO ALEGRE","","","Morro do Sabiá / Anchieta","","","","","","","","","","","","","Ney Castilhos Ferreira, 301","","","","","","","","","","154",""
"PORTO ALEGRE","","","Mulheres em Rede - SER ASSIS","","","","","","","","","","","","","Avenida Vicente Monteggia, nº 2709","","","","","","","","","","30",""
"PORTO ALEGRE","","","ONG Vidal Pro Resgatando Vidas","","","","","","","","","","","","","Homero guerreiro 269","","","","","","","","","","10",""
"PORTO ALEGRE","","","OSC Amurt Amurtel","","","","","","","","","","","","","AV. Juca Batista, 6841 - Ponta Grossa","","","","","","","","","","45",""
"PORTO ALEGRE","","","Pacto POA","","","","","","","","","","","","","Rua Dr. Telmo Vergara 293","","","","","","","","","","115",""
"PORTO ALEGRE","","","Paróquia Divina Espírito Santo","","","","","","","","","","","","","Rua Bortolo Barbieri, 80","","","","","","","","","","110",""
"PORTO ALEGRE","","","Paroquia Nossa Senhora Medianeira","","","","","","","","","","","","","coronel neves, 114 bairo medianeira","","","","","","","","","","46",""
"PORTO ALEGRE","","","Paróquia Santa Clara","","","","","","","","","","","","","Estrada João de Oliveira Remião","","","","","","","","","","90",""
"PORTO ALEGRE","","","Paróquia São José da Vila Nova","","","","","","","","","","","","","Av. Rodrigues da Fonseca, 1459","","","","","","","","","","87",""
"PORTO ALEGRE","","","Paróquia São Martinho","","","","","","","","","","","","","Endereço: Rua Coronel Martinho, 220 - Cristal, Porto Alegre - RS, 91910-670","","","","","","","","","","32",""
"PORTO ALEGRE","","","PARQUE ESPORTIVO DA PUCRS","","","","","","","","","","","","","Ipiranga, 6690","","","","","","","","","","258",""
"PORTO ALEGRE","","","Projeto Angelina Luz","","","","","","","","","","","","","Salvador França 300 casa 13 partenon","","","","","","","","","","40",""
"PORTO ALEGRE","","","Projeto Esporte Vida","","","","","","","","","","","","","Rua Fernando Pessoa, nº 300","","","","","","","","","","19",""
"PORTO ALEGRE","","","Projeto Esporte Viva","","","","","","","","","","","","","Rua Fernando Pessoa","","","","","","","","","","19",""
